time,Mag1_X,Mag1_Y,Mag1_Z,Mag1_Len,Mag1_CarLen,EnvMag1_X,EnvMag1_Y,EnvMag1_Z,Car_Status1,Mag2_X,Mag2_Y,Mag2_Z,Mag2_Len,Mag2_CarLen,EnvMag2_X,EnvMag2_Y,EnvMag2_Z,Car_Status2,Mag3_X,Mag3_Y,Mag3_Z,Mag3_Len,Mag3_CarLen,EnvMag3_X,EnvMag3_Y,EnvMag3_Z,Car_Status3,Mag4_X,Mag4_Y,Mag4_Z,Mag4_Len,Mag4_CarLen,EnvMag4_X,EnvMag4_Y,EnvMag4_Z,Car_Status4
18:50.4,162,-140,-150,261.426854,38.85605579,177.5537484,-105.0928688,-157.0261063,2,183,-106,-239,319.133201,36.20306818,198.2572531,-73.89149844,-245.85,2,286,-86,-188,352.8965854,37.47285585,303.1036266,-53.85149219,-196.8404938,2,300,-167,-104,358.7547909,37.16775322,318.6414984,-135.4215156,-110.0610016,2
18:50.8,163,-138,-150,260.9846739,36.66138363,177.5537484,-105.0928688,-157.0261063,2,182,-107,-239,318.894967,37.51524563,198.2572531,-73.89149844,-245.85,2,285,-85,-191,353.4557964,36.49770131,303.1036266,-53.85149219,-196.8404938,2,300,-168,-108,360.399778,37.5913665,318.6414984,-135.4215156,-110.0610016,1
18:51.3,161,-140,-149,260.2345096,39.45824098,177.5537484,-105.0928688,-157.0261063,2,183,-106,-237,317.6381589,36.63416637,198.2572531,-73.89149844,-245.85,2,286,-83,-192,354.3289432,34.14088354,303.1036266,-53.85149219,-196.8404938,2,299,-169,-107,359.7374042,39.02144032,318.6414984,-135.4215156,-110.0610016,1
18:51.7,162,-141,-148,260.8236952,40.15858263,177.5537484,-105.0928688,-157.0261063,2,182,-107,-241,320.3966292,37.2020652,198.2572531,-73.89149844,-245.85,1,284,-85,-192,353.192582,36.85930638,303.1036266,-53.85149219,-196.8404938,2,299,-169,-106,359.441233,39.11259142,318.6414984,-135.4215156,-110.0610016,1
18:52.1,161,-139,-151,260.8505319,38.21039248,177.5537484,-105.0928688,-157.0261063,2,182,-107,-241,320.3966292,37.2020652,198.2572531,-73.89149844,-245.85,1,285,-85,-193,354.5405478,36.23148114,303.1036266,-53.85149219,-196.8404938,2,299,-168,-106,358.9721438,38.25752003,318.6414984,-135.4215156,-110.0610016,1
18:52.5,161,-140,-150,260.8083588,39.26704176,177.5537484,-105.0928688,-157.0261063,2,182,-106,-240,319.3117599,36.46198914,198.2572531,-73.89149844,-245.85,1,285,-86,-190,353.1586046,37.52412829,303.1036266,-53.85149219,-196.8404938,1,299,-169,-106,359.441233,39.11259142,318.6414984,-135.4215156,-110.0610016,1
18:53.0,162,-139,-148,259.7479548,38.38076646,177.5537484,-105.0928688,-157.0261063,1,183,-106,-237,317.6381589,36.63416637,198.2572531,-73.89149844,-245.85,1,285,-86,-189,352.6216102,37.71924166,303.1036266,-53.85149219,-196.8404938,1,300,-167,-107,359.635927,36.79776991,318.6414984,-135.4215156,-110.0610016,1
18:53.4,162,-140,-146,259.1524648,39.77438776,177.5537484,-105.0928688,-157.0261063,1,182,-106,-239,318.5608262,36.63572917,198.2572531,-73.89149844,-245.85,1,286,-84,-190,353.4855018,35.33070789,303.1036266,-53.85149219,-196.8404938,1,299,-168,-105,358.6781287,38.37655328,318.6414984,-135.4215156,-110.0610016,1
18:53.8,161,-140,-152,261.9637379,38.95890326,177.5537484,-105.0928688,-157.0261063,1,183,-107,-237,317.9732693,37.51371947,198.2572531,-73.89149844,-245.85,1,285,-86,-190,353.1586046,37.52412829,303.1036266,-53.85149219,-196.8404938,1,299,-169,-106,359.441233,39.11259142,318.6414984,-135.4215156,-110.0610016,1
18:54.2,162,-139,-147,259.1794745,38.62816908,177.5537484,-105.0928688,-157.0261063,1,182,-108,-238,318.4839085,38.59158792,198.2572531,-73.89149844,-245.85,1,286,-87,-190,354.2103895,37.92294776,303.1036266,-53.85149219,-196.8404938,1,299,-169,-103,358.5679852,39.53682861,318.6414984,-135.4215156,-110.0610016,1
18:54.6,161,-141,-149,260.7738484,40.34559509,177.5537484,-105.0928688,-157.0261063,1,183,-106,-239,319.133201,36.20306818,198.2572531,-73.89149844,-245.85,1,286,-85,-190,353.724469,36.1877871,303.1036266,-53.85149219,-196.8404938,1,298,-168,-105,357.8449385,38.89785134,318.6414984,-135.4215156,-110.0610016,1
18:55.1,162,-141,-147,260.2575647,40.39509836,177.5537484,-105.0928688,-157.0261063,1,182,-106,-241,320.0640561,36.31496457,198.2572531,-73.89149844,-245.85,1,285,-85,-191,353.4557964,36.49770131,303.1036266,-53.85149219,-196.8404938,1,299,-168,-106,358.9721438,38.25752003,318.6414984,-135.4215156,-110.0610016,1
18:55.5,162,-139,-149,260.319035,38.15797455,177.5537484,-105.0928688,-157.0261063,1,182,-108,-239,319.2318906,38.4006596,198.2572531,-73.89149844,-245.85,1,286,-86,-189,353.4303326,37.24961662,303.1036266,-53.85149219,-196.8404938,1,299,-167,-104,357.9189852,37.67923667,318.6414984,-135.4215156,-110.0610016,1
18:55.9,162,-138,-148,259.2141971,37.50025295,177.5537484,-105.0928688,-157.0261063,1,183,-107,-237,317.9732693,37.51371947,198.2572531,-73.89149844,-245.85,1,286,-85,-189,353.188335,36.39006627,303.1036266,-53.85149219,-196.8404938,1,300,-169,-105,359.980555,38.7380151,318.6414984,-135.4215156,-110.0610016,1
