time,Mag1_X,Mag1_Y,Mag1_Z,EnvMag1_X,EnvMag1_Y,EnvMag1_Z,Car_Status1,Mag2_X,Mag2_Y,Mag2_Z,EnvMag2_X,EnvMag2_Y,EnvMag2_Z,Car_Status2,Mag3_X,Mag3_Y,Mag3_Z,EnvMag3_X,EnvMag3_Y,EnvMag3_Z,Car_Status3,Mag4_X,Mag4_Y,Mag4_Z,EnvMag4_X,EnvMag4_Y,EnvMag4_Z,Car_Status4
31:48.5,186,-88,-161,187.9871276,-87.70874325,-160.9756799,0,206,-65,-252,205.8367774,-64.45088164,-251.9872502,0,314,-45,-222,312.8622187,-47.06515204,-222.4477953,0,318,-128,-132,320.3641461,-128.9003682,-133.7814791,0
31:51.4,188,-84,-159,187.9877712,-87.52330609,-160.8768959,0,204,-64,-250,205.7449385,-64.42833756,-251.8878877,0,313,-49,-220,312.8691077,-47.16189443,-222.3254055,0,321,-125,-132,320.3959388,-128.7053498,-133.6924052,0
31:54.4,188,-86,-159,187.9883827,-87.44714078,-160.7830511,0,204,-62,-252,205.6576916,-64.30692068,-251.8934933,0,313,-50,-220,312.8756523,-47.30379971,-222.2091352,0,321,-127,-132,320.4261419,-128.6200823,-133.6077849,0
31:57.3,187,-87,-160,187.9389635,-87.42478374,-160.7438985,0,207,-66,-247,205.724807,-64.39157465,-251.6488186,0,313,-46,-221,312.8818697,-47.23860973,-222.1486785,0,319,-128,-133,320.3548348,-128.5890782,-133.5773957,0
32:00.2,187,-85,-163,187.8920153,-87.30354456,-160.8567036,0,204,-65,-249,205.6385666,-64.42199591,-251.5163777,0,314,-48,-223,312.9377762,-47.27667924,-222.1912445,0,319,-126,-135,320.287093,-128.4596243,-133.6485259,0
32:03.1,188,-88,-158,187.8974146,-87.33836733,-160.7138684,0,206,-61,-254,205.6566383,-64.25089612,-251.6405588,0,312,-45,-220,312.8908874,-47.16284528,-222.0816823,0,319,-131,-131,320.2227384,-128.586643,-133.5160996,0
32:06.1,189,-85,-160,187.9525438,-87.22144896,-160.678175,0,204,-61,-252,205.5738064,-64.08835131,-251.6585309,0,312,-50,-220,312.846343,-47.30470301,-221.9775982,0,321,-127,-132,320.2616015,-128.5073109,-133.4402946,0
32:09.0,187,-86,-160,187.9049167,-87.16037651,-160.6442663,0,205,-67,-251,205.5451161,-64.23393375,-251.6256043,0,315,-47,-222,312.9540259,-47.28946786,-221.9787183,0,319,-125,-136,320.1985214,-128.3319453,-133.5682799,0
32:11.9,188,-89,-158,187.9096708,-87.25235769,-160.5120529,0,206,-64,-251,205.5678603,-64.22223706,-251.5943241,0,312,-45,-222,312.9063246,-47.17499447,-221.9797824,0,319,-129,-132,320.1385953,-128.3653481,-133.4898659,0
32:14.8,188,-84,-160,187.9141873,-87.0897398,-160.4864503,0,204,-62,-252,205.4894673,-64.11112521,-251.6146079,0,313,-49,-222,312.9110084,-47.26624475,-221.9807933,0,321,-127,-132,320.1816656,-128.2970807,-133.4153726,0
32:17.8,186,-86,-162,187.8184779,-87.03525281,-160.5621278,0,204,-65,-252,205.4149939,-64.15556895,-251.6338775,0,314,-47,-223,312.965458,-47.25293251,-222.0317536,0,319,-125,-133,320.1225823,-128.1322266,-133.394604,0
32:20.7,187,-89,-160,187.777554,-87.13349017,-160.5340214,0,206,-66,-250,205.4442442,-64.2477905,-251.5521836,0,312,-45,-223,312.9171851,-47.14028588,-222.0801659,0,318,-129,-133,320.0164532,-128.1756153,-133.3748738,0
32:23.6,189,-85,-161,187.8386763,-87.02681566,-160.5573203,0,204,-62,-250,205.372032,-64.13540097,-251.4745744,0,311,-49,-221,312.8213258,-47.23327159,-222.0261576,0,322,-128,-131,320.1156305,-128.1668345,-133.2561301,0
32:26.5,187,-85,-160,187.7967425,-86.92547488,-160.5294543,0,204,-66,-253,205.3034304,-64.22863093,-251.5508457,0,314,-46,-222,312.8802595,-47.17160801,-222.0248497,0,319,-125,-132,320.059849,-128.0084928,-133.1933236,0
32:29.5,187,-89,-158,187.7569054,-87.02920114,-160.4029816,0,207,-64,-250,205.3882589,-64.21719938,-251.4733034,0,312,-44,-223,312.8362465,-47.01302761,-222.0736072,0,318,-129,-131,319.9568565,-128.0580682,-133.0836574,0
32:32.4,189,-88,-161,187.8190601,-87.07774108,-160.4328325,0,204,-61,-252,205.3188459,-64.05633941,-251.4996383,0,311,-49,-223,312.7444342,-47.11237623,-222.1199269,0,322,-129,-131,320.0590137,-128.1051648,-132.9794745,0
32:35.3,187,-86,-161,187.7781071,-87.02385403,-160.4611909,0,205,-66,-250,205.3029036,-64.15352244,-251.4246564,0,314,-46,-225,312.8072125,-47.05675742,-222.2639305,0,319,-124,-135,320.006063,-127.8999065,-133.0805008,0
32:38.2,188,-91,-159,187.7892018,-87.22266132,-160.3881313,0,206,-63,-252,205.3377584,-64.09584632,-251.4534235,0,311,-45,-223,312.7168519,-46.95391955,-222.300734,0,319,-131,-134,319.9557599,-128.0549112,-133.1264758,0
32:41.2,186,-87,-161,187.6997417,-87.21152826,-160.4187248,0,207,-66,-250,205.4208705,-64.191054,-251.3807524,0,314,-45,-220,312.7810093,-46.85622357,-222.1856973,0,319,-127,-135,319.9079719,-128.0021656,-133.220152,0
32:44.1,189,-90,-164,187.7647546,-87.35095185,-160.5977885,0,207,-62,-253,205.499827,-64.0815013,-251.4617147,0,311,-47,-221,312.6919588,-46.86341239,-222.1264124,0,321,-130,-133,319.9625733,-128.1020574,-133.2091444,0
32:47.0,187,-85,-161,187.7265169,-87.23340425,-160.6178991,0,204,-64,-253,205.4248356,-64.07742624,-251.538629,0,313,-47,-223,312.7073609,-46.87024177,-222.1700918,0,319,-125,-132,319.9144446,-127.9469545,-133.1486872,0
32:49.9,189,-89,-160,187.790191,-87.32173404,-160.5870042,0,206,-61,-251,205.4535939,-63.92355492,-251.5116976,0,312,-45,-221,312.6719928,-46.77672968,-222.1115872,0,320,-130,-132,319.9187224,-128.0496068,-133.0912528,0
32:52.9,187,-85,-161,187.7506815,-87.20564734,-160.6076539,0,204,-66,-254,205.3809142,-64.02737718,-251.6361127,0,314,-48,-222,312.7383932,-46.8378932,-222.1060079,0,319,-124,-133,319.8727863,-127.8471264,-133.0866902,0
32:55.8,188,-89,-160,187.7631474,-87.29536497,-160.5772712,0,205,-61,-251,205.3618685,-63.87600832,-251.604307,0,311,-47,-220,312.6514735,-46.84599854,-222.0007075,0,321,-130,-132,319.929147,-127.9547701,-133.0323556,0
32:58.7,186,-87,-157,187.67499,-87.28059672,-160.3984077,0,206,-65,-250,205.393775,-63.9322079,-251.5240917,0,313,-43,-224,312.6688999,-46.65369861,-222.1006721,0,318,-126,-134,319.8326896,-127.8570316,-133.0807379,0
33:01.6,188,-85,-159,187.6912405,-87.16656689,-160.3284873,0,203,-61,-252,205.2740863,-63.78559751,-251.5478871,0,312,-49,-222,312.6354549,-46.77101368,-222.0956385,0,321,-126,-134,319.8910551,-127.76418,-133.126701,0
33:04.5,187,-90,-160,187.6566785,-87.30823854,-160.3120629,0,207,-62,-252,205.360382,-63.69631763,-251.5704928,0,312,-46,-219,312.6036821,-46.732463,-221.9408566,0,320,-130,-131,319.8965024,-127.875971,-133.0203659,0
33:07.5,186,-85,-161,187.5738446,-87.19282662,-160.3464598,0,205,-66,-248,205.3423629,-63.81150175,-251.3919681,0,314,-46,-225,312.673498,-46.69583985,-222.0938137,0,318,-126,-134,319.8016773,-127.7821725,-133.0693476,0
33:10.4,189,-87,-159,187.6451523,-87.18318528,-160.2791368,0,204,-62,-252,205.2752447,-63.72092666,-251.4223697,0,312,-49,-221,312.6398231,-46.81104786,-222.0391231,0,321,-128,-131,319.8615934,-127.7930638,-132.9658802,0
33:13.3,187,-90,-161,187.6128947,-87.32402602,-160.31518,0,207,-63,-250,205.3614825,-63.68488033,-251.3512512,0,312,-44,-219,312.607832,-46.67049546,-221.8871669,0,319,-130,-128,319.8185137,-127.9034107,-132.7175862,0
33:16.2,187,-85,-160,187.58225,-87.20782472,-160.299421,0,204,-65,-250,205.2934084,-63.75063631,-251.2836887,0,314,-47,-222,312.6774404,-46.68697069,-221.8928086,0,320,-125,-132,319.827588,-127.7582401,-132.6817069,0
33:19.2,189,-90,-158,187.6531375,-87.34743348,-160.1844499,0,206,-62,-250,205.328738,-63.6631045,-251.2195042,0,311,-47,-223,312.5935683,-46.70262215,-221.9481681,0,320,-130,-130,319.8362086,-127.8703281,-132.5476216,0
33:22.1,187,-90,-161,187.6204806,-87.48006181,-160.2252274,0,206,-63,-249,205.3623011,-63.62994927,-251.108529,0,313,-46,-220,312.6138899,-46.66749105,-221.8507597,0,319,-130,-132,319.7943982,-127.9768117,-132.5202405,0
33:25.0,188,-85,-159,187.6394566,-87.35605872,-160.163966,0,205,-64,-253,205.344186,-63.64845181,-251.2031026,0,313,-50,-221,312.6331954,-46.83411649,-221.8082217,0,321,-126,-132,319.8546783,-127.8779711,-132.4942285,0
33:27.9,186,-89,-158,187.5574838,-87.43825578,-160.0557677,0,207,-65,-250,205.4269767,-63.71602922,-251.1429474,0,314,-44,-220,312.7015357,-46.69241067,-221.7178107,0,318,-129,-131,319.7619444,-127.9340726,-132.419517,0
