time,Mag1_X,Mag1_Y,Mag1_Z,Mag2_X,Mag2_Y,Mag2_Z,Mag3_X,Mag3_Y,Mag3_Z,Mag4_X,Mag4_Y,Mag4_Z
25:43.2,44,-198,-148,187,-23,-253,357,6,-240,452,-289,-180
25:43.7,46,-198,-152,192,-23,-249,352,5,-242,451,-288,-187
25:44.1,51,-199,-142,187,-25,-248,351,6,-250,458,-286,-181
25:44.5,47,-201,-144,185,-24,-252,357,7,-242,456,-288,-174
25:44.9,44,-198,-151,190,-25,-252,356,5,-240,452,-290,-182
25:45.3,50,-198,-149,191,-24,-244,351,5,-246,455,-288,-183
25:45.8,51,-199,-143,185,-24,-252,353,7,-247,459,-287,-179
25:46.2,45,-199,-147,187,-24,-254,358,4,-241,453,-288,-177
25:46.6,47,-198,-152,192,-24,-246,354,6,-241,453,-288,-182
25:47.0,52,-198,-143,188,-24,-249,351,6,-248,458,-287,-180
25:47.4,49,-198,-142,185,-22,-253,357,5,-245,457,-288,-175
25:47.9,45,-199,-151,190,-23,-251,357,6,-239,452,-289,-183
25:48.3,49,-199,-149,191,-23,-247,352,6,-245,454,-288,-185
25:48.7,51,-198,-143,186,-25,-250,353,7,-250,459,-288,-177
25:49.1,46,-199,-142,187,-24,-252,359,5,-239,454,-290,-178
25:49.6,46,-199,-149,192,-22,-247,354,4,-241,451,-287,-186
25:50.0,52,-198,-144,189,-23,-244,352,7,-247,458,-286,-179
25:50.4,49,-199,-141,185,-25,-252,356,7,-243,457,-289,-175
25:50.8,45,-200,-149,190,-22,-252,357,6,-240,452,-290,-180
25:51.2,49,-198,-147,192,-23,-246,351,5,-247,454,-288,-178
25:51.7,51,-198,-142,186,-24,-252,354,5,-246,459,-288,-173
25:52.1,48,-200,-140,185,-24,-252,353,6,-246,459,-290,-173
25:52.5,46,-200,-147,186,-24,-255,359,6,-240,454,-288,-175
25:52.9,47,-198,-152,192,-24,-249,353,6,-242,452,-288,-184
25:53.3,52,-199,-145,188,-24,-246,352,6,-247,459,-285,-181
25:53.8,47,-198,-143,186,-23,-255,358,6,-243,454,-289,-174
25:54.2,45,-200,-148,191,-22,-249,356,7,-238,451,-289,-183
