,Backward,Brand,Category,Class,Class_Target,Forward,time,Mag_CarLen,Mag_CarX,Mag_CarY,Mag_CarZ,Mag_EnvX,Mag_EnvY,Mag_EnvZ,Mag_Len,Mag_X,Mag_Y,Mag_Z
130,0.0,toyota,clotplus,111.37762342589286,1,1,13:09.6,179.48286826324122,-5.200000000000003,-179.1,10.5,50.2,-195.9,-145.5,401.09225871362815,45,-375,-135
131,0.0,toyota,clotplus,111.37762342589286,1,1,13:10.0,179.70114078658486,-11.200000000000003,-179.1,9.5,50.2,-195.9,-145.5,400.8016966031955,39,-375,-136
132,0.0,toyota,clotplus,111.37762342589286,1,1,13:10.4,180.39096429699575,-9.200000000000003,-180.1,4.5,50.2,-195.9,-145.5,403.655793963124,41,-376,-141
133,0.0,toyota,clotplus,111.37762342589286,1,1,13:10.8,179.3061627496389,-4.200000000000003,-179.1,7.5,50.2,-195.9,-145.5,402.2250613773339,46,-375,-138
134,0.0,toyota,clotplus,111.37762342589286,1,1,13:11.3,181.67360843006338,-7.200000000000003,-181.1,12.5,50.2,-195.9,-145.5,402.07835057361643,43,-377,-133
135,0.0,toyota,clotplus,111.37762342589286,1,1,13:11.7,180.693940130819,-10.200000000000003,-180.1,10.5,50.2,-195.9,-145.5,401.49844333446674,40,-376,-135
136,0.0,toyota,clotplus,111.37762342589286,1,1,13:12.1,181.2492758606224,-7.200000000000003,-181.1,1.5,50.2,-195.9,-145.5,405.8497258838547,43,-377,-144
137,0.0,toyota,clotplus,111.37762342589286,1,1,13:12.5,180.83943154080086,-9.200000000000003,-180.1,13.5,50.2,-195.9,-145.5,400.6007988010009,41,-376,-132
138,0.0,toyota,clotplus,111.37762342589286,1,1,13:13.0,181.56238597242546,-11.200000000000003,-181.1,6.5,50.2,-195.9,-145.5,403.69666830430987,39,-377,-139
139,0.0,toyota,clotplus,111.37762342589286,1,1,13:13.4,180.26286361866107,-6.200000000000003,-180.1,4.5,50.2,-195.9,-145.5,403.9715336505779,44,-376,-141
140,0.0,toyota,clotplus,111.37762342589286,1,1,13:13.8,179.54414498947048,-5.200000000000003,-179.1,11.5,50.2,-195.9,-145.5,400.7567840972876,45,-375,-134
141,0.0,toyota,clotplus,111.37762342589286,1,1,13:14.2,181.69067119695495,-10.200000000000003,-181.1,10.5,50.2,-195.9,-145.5,402.43508793344546,40,-377,-135
142,0.0,toyota,clotplus,111.37762342589286,1,1,13:14.6,180.4724355684269,-10.200000000000003,-180.1,5.5,50.2,-195.9,-145.5,403.2071427938746,40,-376,-140
143,0.0,toyota,clotplus,111.37762342589286,1,1,13:15.1,179.25986723190442,-5.200000000000003,-179.1,5.5,50.2,-195.9,-145.5,402.8026812224566,45,-375,-140
144,0.0,toyota,clotplus,111.37762342589286,1,1,13:15.5,180.60813935147,-5.200000000000003,-180.1,12.5,50.2,-195.9,-145.5,401.3601873629222,45,-376,-133
145,0.0,toyota,clotplus,111.37762342589286,1,1,13:15.9,181.54200615835444,-10.200000000000003,-181.1,7.5,50.2,-195.9,-145.5,403.4513601414674,40,-377,-138
146,0.0,toyota,clotplus,111.37762342589286,1,1,13:16.3,181.38936021718584,-9.200000000000003,-181.1,4.5,50.2,-195.9,-145.5,404.58744419470065,41,-377,-141
147,0.0,toyota,clotplus,111.37762342589286,1,1,13:16.8,177.26900462291763,-4.200000000000003,-177.1,6.5,50.2,-195.9,-145.5,400.7068754089453,46,-373,-139
148,0.0,toyota,clotplus,111.37762342589286,1,1,13:17.2,180.63969663393482,-6.200000000000003,-180.1,12.5,50.2,-195.9,-145.5,401.2492990648083,44,-376,-133
